UBIOTA,POS,UBIOTA AUDIO,TRANSLATION,ILLUSTRATION,UDJE 1,UDJE 1 AUDIO,EXAMPLE 1,UDJE 2,UDJE 2 AUDIO,EXAMPLE 2,RATE ENTRY,Total_Rating_Sum,Rating_Count,_RATE_SUM,_RATE_COUNT
aware,n. ,,ancient,,,,,,,,0,,,0,0
áwúsá,n. ,,Urhobo name for the Hausa people and their language,,,,,,,,0,,,0,0
ayarọ,n. ,,basket used by women in fishing,,,,,,,,0,,,0,0
ayávwa,n. ,,exp meet you well (i.e. at table),,,,,,,,0,,,0,0
aye1,n. ,,woman,,,,,,,,0,,,0,0
ayen2,pro,,they,,,,,,,,0,,,0,0
áyen3,pro,,them,,,,,,,,0,,,0,0
ayerórọvwe,n. ,,Mrs.,,,,,,,,0,,,0,0
ayerúwevwi,n. ,,housewife,,,,,,,,0,,,0,0
ayevevu,n. ,,pregnant woman,,,,,,,,0,,,0,0
ayọni,n. ,,pressing iron,,,,,,,,0,,,0,0
azagba (asotu),n. ,,public place,,,,,,,,0,,,0,0
aziza,n. ,,spirit roaming in the forest which gives rise to whirlwind,,,,,,,,0,,,0,0
bá,v.t ,,be loose (of a baby carried on the back),,,,,,,,0,,,0,0
Bb,n. ,,,,,,,,,,0,,,0,0
bẹdẹ,adv.,,never,,,,,,,,0,,,0,0
bẹdẹbẹdẹ (rhirírín),adv.,,"forever, continuously (of time)",,,,,,,,0,,,0,0
bẹnẹ,v.t ,,romance,,,,,,,,0,,,0,0
bẹré,v.t ,,tear,,,,,,,,0,,,0,0
bẹsiẹye,conj,,until,,,,,,,,0,,,0,0
bi (gere),v.t ,,push,,,,,,,,0,,,0,0
bibi,v.t ,,"grope, roam aimlessly",,,,,,,,0,,,0,0
biebí,a,,black,,,,,,,,0,,,0,0
biko,v.i,,please,,,,,,,,0,,,0,0
bioma,v.i,,make way for,,,,,,,,0,,,0,0
bọ (tẹ),v.t ,,build,,,,,,,,0,,,0,0
bo1,v.i,,crow,,,,,,,,0,,,0,0
bo2,v.i,,swim (of fish),,,,,,,,0,,,0,0
bọrọ,v.t ,,comfort,,,,,,,,0,,,0,0
bọrọbọrọ (vwiọrọvwiọrọ),a,,warm,,,,,,,,0,,,0,0
brabra,,,a. bad,,,,,,,,0,,,0,0
bró1,,,int. how many?,,,,,,,,0,,,0,0
bró2,,,int. how much?,,,,,,,,0,,,0,0
bru,,,v.t. cut,,,,,,,,0,,,0,0
brúche,,,v.t advise,,,,,,,,0,,,0,0
brúdú,,,v.i worry (about/over something),,,,,,,,0,,,0,0
bu,,,v.i be plentiful,,,,,,,,0,,,0,0
búbú,,,"a. awkward, clumsy",,,,,,,,0,,,0,0
bue,,,v.t scrape,,,,,,,,0,,,0,0
buebu,,,quant. many,,,,,,,,0,,,0,0
búnọ,,,quant. too many/much,,,,,,,,0,,,0,0
CH ch,,,,,,,,,,,0,,,0,0
chá,,,v.t support/aid,,,,,,,,0,,,0,0
chavwọ,,,v.t screw,,,,,,,,0,,,0,0
chere,,,v.t cook,,,,,,,,0,,,0,0
chiyi,,,v.t tread (on something),,,,,,,,0,,,0,0
cho,,,v.t steal,,,,,,,,0,,,0,0
chúko,,,v.t help,,,,,,,,0,,,0,0
da,,,v.t. drink,,,,,,,,0,,,0,0
dádá,,,a. sharp,,,,,,,,0,,,0,0
Dd,,,,,,,,,,,0,,,0,0
dẹ,,,v.t. buy,,,,,,,,0,,,0,0
dede,,,v.t. welcome,,,,,,,,0,,,0,0
dédévwo,,,conj. nevertheless,,,,,,,,0,,,0,0
dédé,,,a. careful,,,,,,,,0,,,0,0
di,,,v.t block,,,,,,,,0,,,0,0
dia,,,v.i menstruate,,,,,,,,0,,,0,0
dié,,,int. what,,,,,,,,0,,,0,0
diguẹ,,,v.t request one to say,,,,,,,,0,,,0,0
dino,,,adv. nearly,,,,,,,,0,,,0,0
Dj dj,,,,,,,,,,,0,,,0,0
djádjá,,,a. peppery,,,,,,,,0,,,0,0
djávwe (sínu),,,v.t hide,,,,,,,,0,,,0,0
djé1,,,v.t show/explain,,,,,,,,0,,,0,0
do1,,,"v.t thank, general greeting which expresses variety of sentiments",,,,,,,,0,,,0,0
dó2 (vwi),,,v.t throw,,,,,,,,0,,,0,0
dọdọn,,,a. lean/thin,,,,,,,,0,,,0,0
doghodogho,,,a. slack,,,,,,,,0,,,0,0
du,,,v.t mate,,,,,,,,0,,,0,0
duvwu,,,v.t pound,,,,,,,,0,,,0,0
,,,,,,,,,,,5,5,1,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,0,,,0,0
